Time,Map,Kill,RWS,Rating,Won
06-26 19:56,Dust2,6,6.54,0.54,1
06-26 12:42,Dust2,8,15.2,0.78,1
06-25 22:54,Mirage,9,8.02,0.78,1
06-25 15:42,Inferno,12,9.25,0.84,1
06-25 09:12,Inferno,12,4.83,0.51,1
06-25 07:42,Inferno,9,4.56,0.51,0
06-25 06:34,Ancient,13,10.94,0.94,1
06-25 06:02,Mirage,10,5.28,0.72,0
06-25 05:34,Inferno,11,11.49,1.1,1
06-25 04:27,Dust2,6,8.53,0.59,1
06-25 03:48,Dust2,9,7.19,0.56,1
06-24 18:52,Dust2,4,4.44,0.73,1
06-24 18:17,Dust2,10,4.06,0.68,0
06-23 20:00,Dust2,8,3.23,0.53,0
06-23 16:56,Ancient,6,3.65,0.56,0
06-23 16:18,Ancient,11,6.92,0.7,1
06-23 00:17,Mirage,7,8.3,1.0,1
06-22 23:51,Inferno,11,5.02,0.75,0
06-22 19:02,Inferno,10,13.09,0.83,1
06-22 14:13,Mirage,8,6.26,0.45,0
06-21 18:44,Dust2,8,7.42,0.68,1
06-21 00:28,Inferno,17,12.24,1.01,1
06-20 23:54,Mirage,6,3.14,0.46,0
06-20 19:01,Dust2,10,2.48,0.7,0
06-18 02:56,Inferno,10,5.59,0.56,0
06-18 02:22,Dust2,7,4.59,0.47,0
06-16 20:11,Dust2,7,4.89,0.55,0
06-16 19:31,Dust2,14,7.28,0.84,0
06-14 23:12,Dust2,12,10.64,0.73,1
06-14 22:46,Dust2,11,8.17,1.04,1
06-14 21:52,Dust2,15,7.82,0.75,1
06-14 21:28,Inferno,9,1.58,0.73,0
06-14 20:58,Inferno,13,6.17,0.76,0
06-14 19:24,Inferno,9,5.46,0.73,1
06-14 18:43,Dust2,10,1.67,0.59,0
06-14 15:57,Mirage,16,15.05,1.37,1
06-14 11:46,Dust2,10,4.83,0.82,0
06-13 18:57,Dust2,12,7.82,0.79,0
06-13 17:35,Dust2,10,4.13,0.64,0
06-13 17:03,Dust2,7,11.39,0.94,1
06-13 16:26,Ancient,13,13.1,0.98,1
